Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"SWDIO","OffPage","stm32_other","7","SCHEMATIC1","S1.4","320","300","4C","[6]"
"SWDIO","OffPage","stm32_core","6","SCHEMATIC1","U8A.72","180","220","5C","[7]"
"PA9","OffPage","stm32_other","7","SCHEMATIC1","S1.9","150","330","5C","[3,4,6]"
"PA9","OffPage","stm32_core","6","SCHEMATIC1","U8A.68","180","180","5C","[3,4,7]"
"PA9","OffPage","peripheral","4","SCHEMATIC1","U13.9","810","290","1C","[3,6,7]"
"PA9","OffPage","main","3","SCHEMATIC1","J2.5","320","270","4C","[4,6,7]"
"PA10","OffPage","stm32_other","7","SCHEMATIC1","S1.7","150","320","5C","[3,4,6]"
"PA10","OffPage","stm32_core","6","SCHEMATIC1","U8A.69","180","190","5C","[3,4,7]"
"PA10","OffPage","peripheral","4","SCHEMATIC1","U13.8","810","300","1C","[3,6,7]"
"PA10","OffPage","main","3","SCHEMATIC1","J2.8","210","280","4C","[4,6,7]"
"SWDCLK","OffPage","stm32_other","7","SCHEMATIC1","S1.2","320","290","4C","[6]"
"SWDCLK","OffPage","stm32_core","6","SCHEMATIC1","U8A.76","180","230","5C","[7]"
"PB3","OffPage","stm32_other","7","SCHEMATIC1","S1.3","150","300","5C","[3,6]"
"PB3","OffPage","stm32_core","6","SCHEMATIC1","U8A.89","450","110","3D","[3,7]"
"PB3","OffPage","main","3","SCHEMATIC1","J2.21","320","350","4B","[6,7]"
"AGND","OffPage","camera","1","SCHEMATIC1","CAMERA1.2,R26.1","300","140","4D","[1]"
"AGND","OffPage","camera","1","SCHEMATIC1","CAMERA1.2,R26.1","550","170","3C","[1]"
"PC5","OffPage","stm32_core","6","SCHEMATIC1","U8A.33","180","310","5C","[3]"
"PC5","OffPage","main","3","SCHEMATIC1","J3.28","450","380","3B","[6]"
"PC7","OffPage","stm32_core","6","SCHEMATIC1","U8A.64","180","330","5C","[1,3]"
"PC7","OffPage","main","3","SCHEMATIC1","J2.1","320","250","4C","[1,6]"
"PC7","OffPage","camera","1","SCHEMATIC1","CAMERA1.21","550","360","3B","[3,6]"
"PA6","OffPage","stm32_core","6","SCHEMATIC1","U8A.30","180","140","5D","[1,3]"
"PA6","OffPage","camera","1","SCHEMATIC1","CAMERA1.17","550","320","3C","[3,6]"
"PA6","OffPage","main","3","SCHEMATIC1","J3.29","560","390","3B","[1,6]"
"PC0","OffPage","stm32_core","6","SCHEMATIC1","U8A.15","180","260","5C","[1,2,3]"
"PC0","OffPage","lcd","2","SCHEMATIC1","LCD1.5,TOUCH1.6","350","180","4C","[1,2,3,6]"
"PC0","OffPage","lcd","2","SCHEMATIC1","LCD1.5,TOUCH1.6","690","150","2D","[1,2,3,6]"
"PC0","OffPage","camera","1","SCHEMATIC1","CAMERA1.6","550","210","3C","[2,3,6]"
"PC0","OffPage","main","3","SCHEMATIC1","J3.39","560","440","3B","[1,2,6]"
"PA3","OffPage","stm32_core","6","SCHEMATIC1","U8A.25","180","110","5D","[3,4]"
"PA3","OffPage","peripheral","4","SCHEMATIC1","R34.2","280","230","4C","[3,6]"
"PA3","OffPage","main","3","SCHEMATIC1","J3.34","450","410","3B","[4,6]"
"PC3","OffPage","stm32_core","6","SCHEMATIC1","U8A.18","180","290","5C","[3]"
"PC3","OffPage","main","3","SCHEMATIC1","J3.38","450","430","3B","[6]"
"PA4","OffPage","stm32_core","6","SCHEMATIC1","U8A.28","180","120","5D","[1,3]"
"PA4","OffPage","camera","1","SCHEMATIC1","CAMERA1.9","550","240","3C","[3,6]"
"PA4","OffPage","main","3","SCHEMATIC1","J3.31","560","400","3B","[1,6]"
"PA8","OffPage","stm32_core","6","SCHEMATIC1","U8A.67","180","170","5C","[1,3]"
"PA8","OffPage","main","3","SCHEMATIC1","J2.6","210","270","4C","[1,6]"
"PA8","OffPage","camera","1","SCHEMATIC1","R25.2","470","280","3C","[3,6]"
"PA2","OffPage","stm32_core","6","SCHEMATIC1","U8A.24","180","100","5D","[3,4]"
"PA2","OffPage","peripheral","4","SCHEMATIC1","R33.2","270","150","4D","[3,6]"
